,CIK,Company_Name,Filing,Date,Hedge_Positive,Hedge_FalsePositive
297,310450,NOVAMETRIX MEDICAL SYSTEMS INC (CIK 0000310450),10-Q,2000-09-12,1,
298,310450,NOVAMETRIX MEDICAL SYSTEMS INC (CIK 0000310450),10-Q,2000-12-12,1,
299,310450,NOVAMETRIX MEDICAL SYSTEMS INC (CIK 0000310450),10-Q,2001-03-05,1,
300,310450,NOVAMETRIX MEDICAL SYSTEMS INC (CIK 0000310450),10-K,2001-07-27,1,
301,732780,MARINE TRANSPORT CORP (CIK 0000732780),10-Q,2000-08-09,1,
302,732780,MARINE TRANSPORT CORP (CIK 0000732780),10-Q,2000-11-03,1,
303,746969,OLD KENT FINANCIAL CORP /MI/ (CIK 0000746969),10-Q,2000-08-10,1,
304,746969,OLD KENT FINANCIAL CORP /MI/ (CIK 0000746969),10-Q,2000-08-10,1,
305,746969,OLD KENT FINANCIAL CORP /MI/ (CIK 0000746969),10-Q,2000-11-14,1,
306,746969,OLD KENT FINANCIAL CORP /MI/ (CIK 0000746969),10-Q,2000-11-14,1,
307,1047862,CONSOLIDATED EDISON INC (ED) (CIK 0001047862),10-Q,2000-08-14,1,
308,1047862,CONSOLIDATED EDISON INC (ED) (CIK 0001047862),10-Q,2001-05-15,1,
309,23632,CONSOLIDATED EDISON CO OF NEW YORK INC (CIK 0000023632),10-Q,2001-08-13,1,
310,23632,CONSOLIDATED EDISON CO OF NEW YORK INC (CIK 0000023632),10-Q,2001-11-14,1,
311,23632,CONSOLIDATED EDISON CO OF NEW YORK INC (CIK 0000023632),10-K,2002-03-27,1,
312,23632,CONSOLIDATED EDISON CO OF NEW YORK INC (CIK 0000023632),10-Q,2002-05-14,1,
313,1047862,CONSOLIDATED EDISON INC (ED) (CIK 0001047862),10-Q,2002-08-12,1,
314,23632,CONSOLIDATED EDISON CO OF NEW YORK INC (CIK 0000023632),10-Q,2002-11-13,1,
315,23632,CONSOLIDATED EDISON CO OF NEW YORK INC (CIK 0000023632),10-K,2003-02-27,1,
316,23632,CONSOLIDATED EDISON CO OF NEW YORK INC (CIK 0000023632),10-Q,2003-05-15,1,
317,23632,CONSOLIDATED EDISON CO OF NEW YORK INC (CIK 0000023632),10-Q,2003-08-12,1,
318,23632,CONSOLIDATED EDISON CO OF NEW YORK INC (CIK 0000023632),10-Q,2003-11-07,1,
319,23632,CONSOLIDATED EDISON CO OF NEW YORK INC (CIK 0000023632),10-K,2004-03-29,1,
320,23632,CONSOLIDATED EDISON CO OF NEW YORK INC (CIK 0000023632),10-Q,2004-05-07,1,
321,23632,CONSOLIDATED EDISON CO OF NEW YORK INC (CIK 0000023632),10-Q,2004-08-06,1,
322,23632,CONSOLIDATED EDISON CO OF NEW YORK INC (CIK 0000023632),10-Q,2004-11-05,1,
323,23632,CONSOLIDATED EDISON CO OF NEW YORK INC (CIK 0000023632),10-K,2005-02-25,1,
324,75754,PAINE WEBBER GROUP INC (CIK 0000075754),10-Q,2000-08-14,1,
325,75754,PAINE WEBBER GROUP INC (CIK 0000075754),10-Q,2000-11-02,1,
326,1029315,OSI COLLECTION SERVICES INC (CIK 0001029315),10-K,2009-03-31,1,
327,1029315,OSI COLLECTION SERVICES INC (CIK 0001029315),10-K,2010-03-31,1,
328,1029315,OSI COLLECTION SERVICES INC (CIK 0001029315),10-K/A,2010-04-05,1,
329,1029315,OSI COLLECTION SERVICES INC (CIK 0001029315),10-K,2011-03-31,1,
330,319379,PSC INC (CIK 0000319379),10-Q,2000-08-14,1,
331,319379,PSC INC (CIK 0000319379),10-K,2001-04-16,1,
332,319379,PSC INC (CIK 0000319379),10-K/A,2001-04-20,1,
333,804212,AIRGAS INC (CIK 0000804212),10-Q,2001-11-13,1,
334,804212,AIRGAS INC (CIK 0000804212),10-Q,2002-02-13,1,
335,1158063,ATNL INC (CIK 0001158063),10-Q,2002-08-13,1,
336,1158051,AIRGAS INTERMOUNTAIN INC (CIK 0001158051),10-Q,2002-11-13,1,
337,81371,QUAKER OATS CO (CIK 0000081371),10-Q,2000-08-07,1,
338,81371,QUAKER OATS CO (CIK 0000081371),10-Q,2000-11-07,1,
339,81371,QUAKER OATS CO (CIK 0000081371),10-Q,2001-04-27,1,
340,84244,ROLLINS TRUCK LEASING CORP (CIK 0000084244),10-K,2000-12-07,1,
341,1045361,R&B FALCON CORP (CIK 0001045361),10-Q,2000-11-08,1,
342,1127137,XL SYSTEMS LP (CIK 0001127137),10-K/A,2003-06-30,1,
343,83877,RICHTON INTERNATIONAL CORP (CIK 0000083877),10-Q,2001-05-14,1,
344,83877,RICHTON INTERNATIONAL CORP (CIK 0000083877),10-Q,2001-08-09,1,
345,83877,RICHTON INTERNATIONAL CORP (CIK 0000083877),10-Q/A,2001-08-17,1,
346,276747,ROBINSON NUGENT INC (CIK 0000276747),10-K,2000-08-24,1,
347,319019,HALLWOOD ENERGY CORP (CIK 0000319019),10-Q,2000-08-04,1,
348,319019,HALLWOOD ENERGY CORP (CIK 0000319019),10-Q,2000-11-09,1,
349,319019,HALLWOOD ENERGY CORP (CIK 0000319019),10-K,2001-03-20,1,
350,319019,HALLWOOD ENERGY CORP (CIK 0000319019),10-Q,2001-05-08,1,
351,748103,ABC DISPENSING TECHNOLOGIES INC (CIK 0000748103),10-K,2000-08-04,1,
352,748103,ABC DISPENSING TECHNOLOGIES INC (CIK 0000748103),10-K,2001-07-30,1,
353,88974,SENSORMATIC ELECTRONICS CORP (CIK 0000088974),10-K,2000-09-28,1,
354,88974,SENSORMATIC ELECTRONICS CORP (CIK 0000088974),10-Q,2001-05-15,1,
355,88974,SENSORMATIC ELECTRONICS CORP (CIK 0000088974),10-K,2001-09-28,1,
356,89498,SHAW INDUSTRIES INC (CIK 0000089498),10-Q,2000-08-14,1,
357,89498,SHAW INDUSTRIES INC (CIK 0000089498),10-Q,2000-11-02,1,
358,89902,SHONEYS INC (CIK 0000089902),10-Q,2000-09-20,1,
359,89902,SHONEYS INC (CIK 0000089902),10-K,2001-01-30,1,
360,89902,SHONEYS INC (CIK 0000089902),10-K,2001-01-30,1,
361,89902,SHONEYS INC (CIK 0000089902),10-K,2001-01-30,1,
362,89902,SHONEYS INC (CIK 0000089902),10-K,2001-01-30,1,
363,89902,SHONEYS INC (CIK 0000089902),10-Q,2001-04-04,1,
364,89902,SHONEYS INC (CIK 0000089902),10-Q,2001-06-27,1,
365,89902,SHONEYS INC (CIK 0000089902),10-Q,2001-09-14,1,
366,89902,SHONEYS INC (CIK 0000089902),10-Q,2002-03-18,1,
367,712752,SILICON VALLEY GROUP INC (CIK 0000712752),10-Q,2000-08-14,1,
368,712752,SILICON VALLEY GROUP INC (CIK 0000712752),10-K,2000-12-28,1,
369,712752,SILICON VALLEY GROUP INC (CIK 0000712752),10-Q,2001-02-08,1,
370,712752,SILICON VALLEY GROUP INC (CIK 0000712752),10-Q,2001-05-14,1,
371,92259,UNION PACIFIC RAILROAD CO/DE (CIK 0000092259),10-K,2001-03-21,1,
372,92259,UNION PACIFIC RAILROAD CO/DE (CIK 0000092259),10-Q,2001-11-14,1,
373,92259,UNION PACIFIC RAILROAD CO/DE (CIK 0000092259),10-K,2002-03-04,1,
374,92259,UNION PACIFIC RAILROAD CO/DE (CIK 0000092259),10-K,2003-02-21,1,
375,93102,SPRINGS INDUSTRIES INC (CIK 0000093102),10-Q,2000-11-13,1,
376,93102,SPRINGS INDUSTRIES INC (CIK 0000093102),10-K,2001-03-28,1,
377,93102,SPRINGS INDUSTRIES INC (CIK 0000093102),10-Q,2001-05-15,1,
378,93102,SPRINGS INDUSTRIES INC (CIK 0000093102),10-Q/A,2001-07-30,1,
379,93102,SPRINGS INDUSTRIES INC (CIK 0000093102),10-Q,2001-08-14,1,
380,94567,STOKELY VAN CAMP INC (CIK 0000094567),10-Q,2001-11-14,1,
381,919465,BERRY PLASTICS HOLDING CORP (CIK 0000919465),10-K,2007-03-12,1,
382,919465,BERRY PLASTICS HOLDING CORP (CIK 0000919465),10-K,2007-12-26,1,
383,1075622,VENTURE PACKAGING INC (CIK 0001075622),10-Q,2008-02-12,1,
384,1381515,"Landis Plastics, Inc (CIK 0001381515)",10-Q,2008-05-12,1,
385,1114652,BERRY PLASTICS ACQUISITION CORP III (CIK 0001114652),10-Q,2008-08-07,1,
386,1381510,"Pescor, Inc (CIK 0001381510)",10-K,2008-12-16,1,
387,919467,BERRY IOWA CORP (CIK 0000919467),10-Q,2009-02-09,1,
388,919467,BERRY IOWA CORP (CIK 0000919467),10-Q,2009-05-11,1,
389,919467,BERRY IOWA CORP (CIK 0000919467),10-Q,2009-08-10,1,
390,1093665,CARDINAL PACKAGING INC (CIK 0001093665),10-K,2009-11-24,1,
391,720577,SUNRISE MEDICAL INC (CIK 0000720577),10-K,2000-09-28,1,
392,821139,SUPERMARKETS GENERAL HOLDINGS CORP (CIK 0000821139),10-Q,2000-09-12,1,
393,202763,SYNCOR INTERNATIONAL CORP /DE/ (CIK 0000202763),10-Q,2000-08-14,1,
394,202763,SYNCOR INTERNATIONAL CORP /DE/ (CIK 0000202763),10-K/A,2001-05-08,1,
395,202763,SYNCOR INTERNATIONAL CORP /DE/ (CIK 0000202763),10-K/A,2001-05-08,1,
396,202763,SYNCOR INTERNATIONAL CORP /DE/ (CIK 0000202763),10-Q,2001-08-14,1,
397,202763,SYNCOR INTERNATIONAL CORP /DE/ (CIK 0000202763),10-K,2002-04-01,1,
398,202763,SYNCOR INTERNATIONAL CORP /DE/ (CIK 0000202763),10-K,2002-04-01,1,
399,202763,SYNCOR INTERNATIONAL CORP /DE/ (CIK 0000202763),10-K/A,2002-10-11,1,
400,100030,TRW INC (CIK 0000100030),10-Q,2000-08-14,1,
401,100030,TRW INC (CIK 0000100030),10-Q,2000-11-02,1,
402,100030,TRW INC (CIK 0000100030),10-Q,2001-05-01,1,
403,100030,TRW INC (CIK 0000100030),10-Q,2001-05-01,1,
404,100030,TRW INC (CIK 0000100030),10-Q,2002-05-03,1,
405,100030,TRW INC (CIK 0000100030),10-Q,2002-05-03,1,
406,100030,TRW INC (CIK 0000100030),10-Q,2002-08-13,1,
407,100030,TRW INC (CIK 0000100030),10-Q,2002-08-13,1,
408,100030,TRW INC (CIK 0000100030),10-Q,2002-11-06,1,
409,100030,TRW INC (CIK 0000100030),10-Q,2002-11-06,1,
410,751288,TMBR SHARP DRILLING INC (CIK 0000751288),10-Q,2002-08-12,1,
411,751288,TMBR SHARP DRILLING INC (CIK 0000751288),10-Q,2002-11-13,1,
412,751288,TMBR SHARP DRILLING INC (CIK 0000751288),10-Q,2003-02-12,1,
413,751288,TMBR SHARP DRILLING INC (CIK 0000751288),10-K,2003-06-27,1,
414,751288,TMBR SHARP DRILLING INC (CIK 0000751288),10-Q,2003-08-14,1,
415,751288,TMBR SHARP DRILLING INC (CIK 0000751288),10-Q,2003-11-14,1,
416,751288,TMBR SHARP DRILLING INC (CIK 0000751288),10-K/A,2003-12-30,1,
417,728392,WENDT BRISTOL HEALTH SERVICES CORP (CIK 0000728392),10-K,2000-09-28,1,
418,728392,WENDT BRISTOL HEALTH SERVICES CORP (CIK 0000728392),10-Q,2000-11-17,1,
419,97349,TEXACO INC (CIK 0000097349),10-K,2001-03-26,1,
420,97349,TEXACO INC (CIK 0000097349),10-K,2001-03-26,1,
421,354639,THACKERAY CORP (CIK 0000354639),10-K,2002-04-15,1,
422,1027574,OUTSOURCING SOLUTIONS INC (CIK 0001027574),10-Q,2000-11-14,1,
423,76741,OSI SUPPORT SERVICES INC (CIK 0000076741),10-K,2001-03-30,1,
424,76741,OSI SUPPORT SERVICES INC (CIK 0000076741),10-Q,2001-05-14,1,
425,1067125,NORTH SHORE AGENCY INC (CIK 0001067125),10-Q,2001-08-14,1,
426,1029715,OSI PORTFOLIO SERVICES INC (CIK 0001029715),10-Q,2001-11-14,1,
427,1029715,OSI PORTFOLIO SERVICES INC (CIK 0001029715),10-Q/A,2002-04-15,1,
428,1029715,OSI PORTFOLIO SERVICES INC (CIK 0001029715),10-K,2002-04-15,1,
429,1029715,OSI PORTFOLIO SERVICES INC (CIK 0001029715),10-K,2002-04-15,1,
430,1058633,UNION SPECIAL STEEL CASTING CORP (CIK 0001058633),10-Q,2002-05-15,1,
431,76741,OSI SUPPORT SERVICES INC (CIK 0000076741),10-Q,2002-08-13,1,
432,774203,WACHOVIA CORP/ NC (CIK 0000774203),10-K,2001-03-05,1,
433,104348,WALLACE COMPUTER SERVICES INC (CIK 0000104348),10-K,2000-10-20,1,
434,104348,WALLACE COMPUTER SERVICES INC (CIK 0000104348),10-Q,2000-12-15,1,
435,104348,WALLACE COMPUTER SERVICES INC (CIK 0000104348),10-Q,2001-03-16,1,
436,104348,WALLACE COMPUTER SERVICES INC (CIK 0000104348),10-Q,2001-06-14,1,
437,104348,WALLACE COMPUTER SERVICES INC (CIK 0000104348),10-K,2001-10-26,1,
438,104348,WALLACE COMPUTER SERVICES INC (CIK 0000104348),10-Q,2001-12-14,1,
439,104348,WALLACE COMPUTER SERVICES INC (CIK 0000104348),10-Q,2002-03-18,1,
440,104348,WALLACE COMPUTER SERVICES INC (CIK 0000104348),10-Q,2002-06-12,1,
441,104348,WALLACE COMPUTER SERVICES INC (CIK 0000104348),10-K,2002-10-23,1,
442,104834,WASHINGTON HOMES INC (CIK 0000104834),10-K,2000-10-12,1,
443,104834,WASHINGTON HOMES INC (CIK 0000104834),10-Q,2000-12-15,1,
444,105318,WEIGH TRONIX INC (CIK 0000105318),10-Q,2001-02-20,1,
445,1119746,WEIGH TRONIX LLC (CIK 0001119746),10-Q,2000-11-15,1,
446,1119746,WEIGH TRONIX LLC (CIK 0001119746),10-Q,2001-08-14,1,
447,1119746,WEIGH TRONIX LLC (CIK 0001119746),10-Q,2001-11-19,1,
448,1119746,WEIGH TRONIX LLC (CIK 0001119746),10-Q,2002-02-19,1,
449,108606,WRITER CORP (CIK 0000108606),10-Q,2000-08-11,1,
450,735780,IDENTIX INC (CIK 0000735780),10-K,2001-09-28,1,
451,785546,IFR SYSTEMS INC (CIK 0000785546),10-Q,2000-08-10,1,
452,785546,IFR SYSTEMS INC (CIK 0000785546),10-Q,2000-11-13,1,
453,785546,IFR SYSTEMS INC (CIK 0000785546),10-Q,2001-02-13,1,
454,785546,IFR SYSTEMS INC (CIK 0000785546),10-Q,2001-08-14,1,
455,785546,IFR SYSTEMS INC (CIK 0000785546),10-Q,2001-11-14,1,
456,785546,IFR SYSTEMS INC (CIK 0000785546),10-Q,2002-02-14,1,
457,771498,BATTLE MOUNTAIN GOLD CO (CIK 0000771498),10-Q,2000-11-14,1,
458,771498,BATTLE MOUNTAIN GOLD CO (CIK 0000771498),10-K/A,2000-11-22,1,
459,319019,HALLWOOD ENERGY CORP (CIK 0000319019),10-Q,2000-08-04,1,
460,319019,HALLWOOD ENERGY CORP (CIK 0000319019),10-Q,2000-11-09,1,
461,319019,HALLWOOD ENERGY CORP (CIK 0000319019),10-K,2001-03-20,1,
462,319019,HALLWOOD ENERGY CORP (CIK 0000319019),10-Q,2001-05-08,1,
463,785080,ARAHOVA COMMUNICATIONS INC (CIK 0000785080),10-Q,2000-08-14,1,
464,785080,ARAHOVA COMMUNICATIONS INC (CIK 0000785080),10-Q,2000-11-14,1,
465,785080,ARAHOVA COMMUNICATIONS INC (CIK 0000785080),10-K,2001-04-02,1,
466,790372,MS CARRIERS INC (CIK 0000790372),10-K,2001-03-30,1,
467,790372,MS CARRIERS INC (CIK 0000790372),10-Q,2001-05-09,1,
468,763098,RESPONSE ONCOLOGY INC (CIK 0000763098),10-Q,2000-08-14,1,
469,763098,RESPONSE ONCOLOGY INC (CIK 0000763098),10-Q,2000-11-14,1,
470,763098,RESPONSE ONCOLOGY INC (CIK 0000763098),10-Q,2001-05-21,1,
471,763098,RESPONSE ONCOLOGY INC (CIK 0000763098),10-Q,2001-08-20,1,
472,763098,RESPONSE ONCOLOGY INC (CIK 0000763098),10-Q,2001-11-14,1,
473,763098,RESPONSE ONCOLOGY INC (CIK 0000763098),10-K,2002-06-13,1,
474,760775,WLR FOODS INC (CIK 0000760775),10-Q,2000-11-14,1,
475,46738,HELLER FINANCIAL INC (CIK 0000046738),10-Q,2000-08-04,1,
476,46738,HELLER FINANCIAL INC (CIK 0000046738),10-Q,2000-11-13,1,
477,46738,HELLER FINANCIAL INC (CIK 0000046738),10-Q,2001-05-10,1,
478,46738,HELLER FINANCIAL INC (CIK 0000046738),10-Q,2001-08-13,1,
479,46738,HELLER FINANCIAL INC (CIK 0000046738),10-Q,2001-10-23,1,
480,46738,HELLER FINANCIAL INC (CIK 0000046738),10-K,2002-08-02,1,
481,46738,HELLER FINANCIAL INC (CIK 0000046738),10-Q/A,2002-08-02,1,
482,46738,HELLER FINANCIAL INC (CIK 0000046738),10-Q/A,2002-08-02,1,
483,46738,HELLER FINANCIAL INC (CIK 0000046738),10-Q/A,2002-08-02,1,
484,768170,PITNEY BOWES CREDIT CORP (CIK 0000768170),10-Q,2000-08-14,1,
485,768170,PITNEY BOWES CREDIT CORP (CIK 0000768170),10-Q,2000-11-14,1,
486,768170,PITNEY BOWES CREDIT CORP (CIK 0000768170),10-K,2001-03-30,1,
487,768170,PITNEY BOWES CREDIT CORP (CIK 0000768170),10-Q,2001-05-14,1,
488,768170,PITNEY BOWES CREDIT CORP (CIK 0000768170),10-Q,2001-08-14,1,
489,768170,PITNEY BOWES CREDIT CORP (CIK 0000768170),10-Q,2001-11-14,1,
490,768170,PITNEY BOWES CREDIT CORP (CIK 0000768170),10-K,2002-03-28,1,
491,768170,PITNEY BOWES CREDIT CORP (CIK 0000768170),10-Q,2002-05-10,1,
492,768170,PITNEY BOWES CREDIT CORP (CIK 0000768170),10-Q,2002-08-13,1,
493,768170,PITNEY BOWES CREDIT CORP (CIK 0000768170),10-Q,2002-11-12,1,
494,276478,GATX RAIL CORP (CIK 0000276478),10-K,2001-03-30,1,
495,743029,DECORA INDUSTRIES INC (CIK 0000743029),10-K,2000-07-14,1,
496,745379,KENAN TRANSPORT CO (CIK 0000745379),10-Q,2000-08-10,1,
497,745379,KENAN TRANSPORT CO (CIK 0000745379),10-Q,2000-11-13,1,
498,709355,CASTLE ENERGY CORP (CIK 0000709355),10-K,2002-01-04,1,
499,52741,IIC INDUSTRIES INC (CIK 0000052741),10-K,2001-04-17,1,
500,1059969,BOSTON CELTICS LIMITED PARTNERSHIP /DE/ (CIK 0001059969),10-K,2000-09-15,1,
501,1059969,BOSTON CELTICS LIMITED PARTNERSHIP /DE/ (CIK 0001059969),10-K,2001-09-21,1,
502,1059969,BOSTON CELTICS LIMITED PARTNERSHIP /DE/ (CIK 0001059969),10-Q,2001-10-26,1,
503,1059969,BOSTON CELTICS LIMITED PARTNERSHIP /DE/ (CIK 0001059969),10-Q,2002-02-01,1,
504,1059969,BOSTON CELTICS LIMITED PARTNERSHIP /DE/ (CIK 0001059969),10-Q,2002-04-26,1,
505,1059969,BOSTON CELTICS LIMITED PARTNERSHIP /DE/ (CIK 0001059969),10-K,2002-09-27,1,
506,1059969,BOSTON CELTICS LIMITED PARTNERSHIP /DE/ (CIK 0001059969),10-Q,2002-11-01,1,
507,1059969,HENLEY LIMITED PARTNERSHIP (CIK 0001059969),10-Q,2003-02-14,1,
508,805009,BOSTON CELTICS LIMITED PARTNERSHIP II /DE/ (CIK 0000805009),10-K,2000-09-15,1,
509,805009,BOSTON CELTICS LIMITED PARTNERSHIP II /DE/ (CIK 0000805009),10-K,2001-09-21,1,
510,805009,BOSTON CELTICS LIMITED PARTNERSHIP II /DE/ (CIK 0000805009),10-Q,2001-10-26,1,
511,805009,BOSTON CELTICS LIMITED PARTNERSHIP II /DE/ (CIK 0000805009),10-Q,2002-02-01,1,
512,805009,BOSTON CELTICS LIMITED PARTNERSHIP II /DE/ (CIK 0000805009),10-Q,2002-04-26,1,
513,805009,BOSTON CELTICS LIMITED PARTNERSHIP II /DE/ (CIK 0000805009),10-K,2002-09-27,1,
514,805009,BOSTON CELTICS LIMITED PARTNERSHIP II /DE/ (CIK 0000805009),10-Q,2002-11-01,1,
515,805009,HENLEY LIMITED PARTNERSHIP II (CIK 0000805009),10-Q,2003-02-14,1,
516,804104,ARISTECH CHEMICAL CORP (CIK 0000804104),10-Q,2000-08-11,1,
517,771298,FRUIT OF THE LOOM INC /DE/ (CIK 0000771298),10-K,2001-04-16,1,
518,771298,FRUIT OF THE LOOM INC /DE/ (CIK 0000771298),10-K,2002-04-15,1,
519,1053303,FRUIT OF THE LOOM LTD (CIK 0001053303),10-K,2001-04-16,1,
520,1053303,FRUIT OF THE LOOM LTD (CIK 0001053303),10-K,2002-04-15,1,
521,1023060,EEX CORP (CIK 0001023060),10-K,2002-04-15,1,
522,812075,UNO RESTAURANT CORP (CIK 0000812075),10-K,2000-12-22,1,
523,1062982,708 GYM LLC (CIK 0001062982),10-K,2004-03-30,1,
524,1265271,MANHATTAN SPORTS CLUBS INC (CIK 0001265271),10-K/A,2004-04-02,1,
525,1062982,708 GYM LLC (CIK 0001062982),10-Q,2004-05-10,1,
526,1062982,708 GYM LLC (CIK 0001062982),10-K,2005-11-30,1,
527,1062982,708 GYM LLC (CIK 0001062982),10-Q,2005-11-30,1,
528,1062982,708 GYM LLC (CIK 0001062982),10-Q,2005-11-30,1,
529,1062982,708 GYM LLC (CIK 0001062982),10-Q,2005-11-30,1,
530,1062982,708 GYM LLC (CIK 0001062982),10-Q,2005-11-30,1,
531,1062982,708 GYM LLC (CIK 0001062982),10-Q,2005-11-30,1,
532,1062982,708 GYM LLC (CIK 0001062982),10-Q/A,2005-12-20,1,
533,1062982,708 GYM LLC (CIK 0001062982),10-K,2006-06-27,1,
534,1062982,708 GYM LLC (CIK 0001062982),10-Q,2006-06-27,1,
535,1265283,TIDELANDS HOLIDAY HEALTH CLUBS INC (CIK 0001265283),10-Q,2006-09-11,1,
536,1265283,TIDELANDS HOLIDAY HEALTH CLUBS INC (CIK 0001265283),10-Q/A,2006-09-12,1,
537,1265284,US HEALTH INC (CIK 0001265284),10-Q,2006-11-13,1,
538,1265266,"BTF/CFI, INC (CIK 0001265266)",10-K,2007-06-29,1,
539,1265266,"BTF/CFI, INC (CIK 0001265266)",10-Q,2007-09-28,1,
540,1265266,"BTF/CFI, INC (CIK 0001265266)",10-Q,2007-09-28,1,
541,36725,FIRST NATIONAL OF NEBRASKA INC (CIK 0000036725),10-Q,2000-08-04,1,
542,36725,FIRST NATIONAL OF NEBRASKA INC (CIK 0000036725),10-Q,2000-11-13,1,
543,36725,FIRST NATIONAL OF NEBRASKA INC (CIK 0000036725),10-K,2001-03-23,1,
544,919568,DIME BANCORP INC (CIK 0000919568),10-Q,2000-08-14,1,
545,919568,DIME BANCORP INC (CIK 0000919568),10-Q,2000-11-14,1,
546,919568,DIME BANCORP INC (CIK 0000919568),10-Q,2001-05-15,1,
547,919568,DIME BANCORP INC (CIK 0000919568),10-Q,2001-08-14,1,
548,919568,DIME BANCORP INC (CIK 0000919568),10-Q,2001-11-14,1,
549,55387,KENTUCKY UTILITIES CO (CIK 0000055387),10-Q,2011-11-08,1,
550,55387,KENTUCKY UTILITIES CO (CIK 0000055387),10-K,2012-02-28,1,
551,55387,KENTUCKY UTILITIES CO (CIK 0000055387),10-Q,2012-05-07,1,
552,55387,KENTUCKY UTILITIES CO (CIK 0000055387),10-Q,2012-08-08,1,
553,55387,KENTUCKY UTILITIES CO (CIK 0000055387),10-Q,2012-11-08,1,
554,55387,KENTUCKY UTILITIES CO (CIK 0000055387),10-Q,2012-11-08,1,
555,55387,KENTUCKY UTILITIES CO (CIK 0000055387),10-K,2013-02-28,1,
556,55387,KENTUCKY UTILITIES CO (CIK 0000055387),10-K,2013-02-28,1,
557,55387,KENTUCKY UTILITIES CO (CIK 0000055387),10-K,2013-02-28,1,
558,55387,KENTUCKY UTILITIES CO (CIK 0000055387),10-K,2013-02-28,1,
559,55387,KENTUCKY UTILITIES CO (CIK 0000055387),10-K,2013-02-28,1,
560,55387,KENTUCKY UTILITIES CO (CIK 0000055387),10-Q,2013-05-03,1,
561,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2013-08-02,1,
562,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-K,2014-02-24,1,
563,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-K,2014-02-24,1,
564,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2014-05-02,1,
565,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2014-07-31,1,
566,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2014-07-31,1,
567,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2014-07-31,1,
568,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2014-07-31,1,
569,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2014-07-31,1,
570,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2014-11-07,1,
571,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2014-11-07,1,
572,55387,KENTUCKY UTILITIES CO (CIK 0000055387),10-K,2015-02-23,1,
573,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2015-05-07,1,
574,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2015-08-03,1,
575,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2015-10-30,1,
576,55387,KENTUCKY UTILITIES CO (CIK 0000055387),10-K,2016-02-19,1,
577,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2016-04-29,1,
578,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2016-08-09,1,
579,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2016-11-01,1,
580,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-K,2017-02-17,1,
581,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-K,2017-02-17,1,
582,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2017-05-04,1,
583,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2017-08-03,1,
584,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2017-11-01,1,
585,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2017-11-01,1,
586,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2017-11-01,1,
587,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-K,2018-02-22,1,
588,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2018-05-03,1,
589,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2018-08-07,1,
590,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2018-11-01,1,
591,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-K,2019-02-14,1,
592,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2019-05-02,1,
593,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2019-08-06,1,
594,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2019-11-05,1,
595,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-K,2020-02-14,1,
596,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2020-05-08,1,
597,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2020-05-08,1,
598,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2020-05-08,1,
599,922224,"PPL Corp (PPL, PPX) (CIK 0000922224)",10-Q,2020-05-08,1,
